DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2015-02-26                11:51:37.470              56.24418368               1349.860408               57.24418368               1424951497.470            2                         963                       5.0001087748E+001         8.0000144958E+001         4.4999839783E+001         4.4062500000E+001         4.4973258972E+001         0.0000000000E+000         2.9542780182E+004         0.0000000000E+000         3.3257332596E+003         -4.0750147120E+001        -2.2730856545E+002        1.5048472537E+000         0.0000000000E+000         8.4282663111E+001         9.6722185869E-001         5.6865895570E-001         
2015-02-26                11:51:38.322              56.24419355               1349.860645               57.24419355               1424951498.323            2                         963                       4.9992985891E+001         8.0000144958E+001         4.4999839783E+001         4.4062500000E+001         4.4973258972E+001         0.0000000000E+000         2.9536999232E+004         0.0000000000E+000         3.3263991103E+003         -4.0614801845E+001        -2.2730954341E+002        1.0974850721E+000         0.0000000000E+000         8.3986062732E+001         2.4946494796E+000         6.1750847624E-001         
2015-02-26                11:51:39.177              56.24420344               1349.860883               57.24420344               1424951499.177            2                         963                       4.9981416779E+001         8.0000144958E+001         4.4999839783E+001         4.4105416667E+001         4.4973258972E+001         0.0000000000E+000         2.9523275000E+004         0.0000000000E+000         3.3293569741E+003         -4.1170058791E+001        -2.2964074646E+002        -2.4928766940E-001        0.0000000000E+000         8.4343367567E+001         1.8935883219E+000         5.3066833776E-001         
2015-02-26                11:51:40.035              56.24421337               1349.861121               57.24421337               1424951500.035            2                         963                       4.9997848206E+001         8.0000362040E+001         4.4999879252E+001         4.4071250000E+001         4.4973160299E+001         0.0000000000E+000         2.9526825781E+004         0.0000000000E+000         3.3288167102E+003         -4.0978469345E+001        -2.2755223951E+002        7.3107533227E-001         0.0000000000E+000         8.4264807066E+001         1.9475804820E+000         5.5727880903E-001         
2015-02-26                11:51:40.888              56.24422325               1349.861358               57.24422325               1424951500.889            2                         963                       4.9983983968E+001         8.0000480652E+001         4.4999900818E+001         4.4125000000E+001         4.4973106384E+001         0.0000000000E+000         2.9518197292E+004         0.0000000000E+000         3.3309738665E+003         -4.1115098542E+001        -2.3043225688E+002        8.7298416831E-001         0.0000000000E+000         8.4384160051E+001         3.0975710146E+000         5.5180616756E-001         
2015-02-26                11:51:41.743              56.24423314               1349.861595               57.24423314               1424951501.743            2                         963                       5.0004197388E+001         8.0000480652E+001         4.4999900818E+001         4.4125000000E+001         4.4973106384E+001         0.0000000000E+000         2.9528973672E+004         0.0000000000E+000         3.3287684820E+003         -4.0680960768E+001        -2.2745383755E+002        4.3577512600E-001         0.0000000000E+000         8.4545267431E+001         3.1665928063E+000         5.8615981796E-001         
2015-02-26                11:51:42.595              56.24424301               1349.861832               57.24424301               1424951502.596            2                         963                       4.9996008174E+001         8.0000480652E+001         4.4999900818E+001         4.4125000000E+001         4.4973106384E+001         0.0000000000E+000         2.9524555729E+004         0.0000000000E+000         3.3306552684E+003         -4.0937341036E+001        -2.2746922142E+002        -2.4858778943E-001        0.0000000000E+000         8.4595943833E+001         1.8663877319E+000         5.9255497031E-001         
2015-02-26                11:51:43.448              56.24425288               1349.862069               57.24425288               1424951503.449            2                         963                       4.9989156799E+001         8.0000480652E+001         4.4999900818E+001         4.4125000000E+001         4.4973106384E+001         0.0000000000E+000         2.9519424401E+004         0.0000000000E+000         3.3302812553E+003         -4.0965871531E+001        -2.2718188217E+002        1.4545221094E+000         0.0000000000E+000         8.4169645838E+001         2.2246880122E+000         5.9988045508E-001         
2015-02-26                11:51:44.302              56.24426277               1349.862306               57.24426277               1424951504.303            2                         963                       5.0005193685E+001         8.0000480652E+001         4.4999900818E+001         4.4125000000E+001         4.4973106384E+001         0.0000000000E+000         2.9528404076E+004         0.0000000000E+000         3.3304656688E+003         -4.1060136549E+001        -2.2504282218E+002        8.4254423223E-001         0.0000000000E+000         8.4217958104E+001         2.9858595033E+000         5.9810713880E-001         
2015-02-26                11:51:45.161              56.24427270               1349.862545               57.24427270               1424951505.161            2                         963                       5.0008385798E+001         8.0000480652E+001         4.4999820251E+001         4.4066250000E+001         4.4973207092E+001         0.0000000000E+000         2.9531214766E+004         0.0000000000E+000         3.3307721059E+003         -4.0681748837E+001        -2.3017017219E+002        7.0100017109E-001         0.0000000000E+000         8.4354872536E+001         3.8540791361E+000         5.3679894858E-001         
2015-02-26                11:51:46.015              56.24428258               1349.862782               57.24428258               1424951506.015            2                         963                       5.0012269338E+001         8.0000480652E+001         4.4999778748E+001         4.4090833333E+001         4.4973258972E+001         0.0000000000E+000         2.9541126797E+004         0.0000000000E+000         3.3298516178E+003         -4.0951020818E+001        -2.2716864332E+002        4.3569597396E-001         0.0000000000E+000         8.4291230573E+001         3.4069627699E+000         5.5336694042E-001         
2015-02-26                11:51:46.868              56.24429247               1349.863019               57.24429247               1424951506.869            2                         963                       5.0000241826E+001         8.0000480652E+001         4.4999778748E+001         4.4125000000E+001         4.4973258972E+001         0.0000000000E+000         2.9537100872E+004         0.0000000000E+000         3.3311377167E+003         -4.1219475718E+001        -2.2817137984E+002        1.2463111686E+000         0.0000000000E+000         8.3930225684E+001         3.0807973472E+000         5.1482647575E-001         
2015-02-26                11:51:47.721              56.24430234               1349.863256               57.24430234               1424951507.722            2                         963                       4.9993764343E+001         8.0000480652E+001         4.4999778748E+001         4.4125000000E+001         4.4973258972E+001         0.0000000000E+000         2.9532560547E+004         0.0000000000E+000         3.3275096553E+003         -4.0530225268E+001        -2.2913133735E+002        2.0151323315E-001         0.0000000000E+000         8.4380898608E+001         1.3780574243E+000         5.3387412708E-001         
2015-02-26                11:51:48.575              56.24431222               1349.863493               57.24431222               1424951508.576            2                         963                       4.9997148692E+001         8.0000480652E+001         4.4999778748E+001         4.4125000000E+001         4.4973258972E+001         0.0000000000E+000         2.9531177969E+004         0.0000000000E+000         3.3299789614E+003         -4.0505964357E+001        -2.2823810606E+002        -7.5061629827E-001        0.0000000000E+000         8.4609023047E+001         3.2820972387E+000         6.1108811693E-001         
2015-02-26                11:51:49.428              56.24432209               1349.863730               57.24432209               1424951509.429            2                         963                       5.0010583801E+001         8.0000469259E+001         4.4999795024E+001         4.4125000000E+001         4.4973252462E+001         0.0000000000E+000         2.9537172643E+004         0.0000000000E+000         3.3299659844E+003         -4.0772479375E+001        -2.2746556278E+002        1.1595512040E+000         0.0000000000E+000         8.4340931900E+001         1.5127729613E+000         4.8421168294E-001         
2015-02-26                11:51:50.282              56.24433198               1349.863967               57.24433198               1424951510.283            2                         963                       5.0004339294E+001         8.0000267029E+001         4.5000083923E+001         4.4125000000E+001         4.4973136902E+001         0.0000000000E+000         2.9535821758E+004         0.0000000000E+000         3.3286830530E+003         -4.0011204225E+001        -2.3015691384E+002        1.0049422811E+000         0.0000000000E+000         8.4003584782E+001         4.1489281563E+000         5.2617047828E-001         
2015-02-26                11:51:51.135              56.24434185               1349.864204               57.24434185               1424951511.136            2                         963                       5.0008476817E+001         8.0000267029E+001         4.5000083923E+001         4.4093750000E+001         4.4973136902E+001         0.0000000000E+000         2.9538449935E+004         0.0000000000E+000         3.3294026197E+003         -4.0528765776E+001        -2.2573138875E+002        -4.5037217098E-001        0.0000000000E+000         8.4435642134E+001         2.9515965272E+000         5.9707052497E-001         
2015-02-26                11:51:51.989              56.24435172               1349.864441               57.24435172               1424951511.989            2                         963                       4.9999085592E+001         8.0000267029E+001         4.5000083923E+001         4.4125000000E+001         4.4973136902E+001         0.0000000000E+000         2.9533972109E+004         0.0000000000E+000         3.3286924524E+003         -4.0177916631E+001        -2.2824751673E+002        3.9303563921E-001         0.0000000000E+000         8.4481849835E+001         2.6917322164E+000         5.6568513683E-001         
2015-02-26                11:51:52.842              56.24436161               1349.864679               57.24436161               1424951512.843            2                         963                       4.9985503159E+001         8.0000267029E+001         4.5000083923E+001         4.4125000000E+001         4.4973136902E+001         0.0000000000E+000         2.9520451094E+004         0.0000000000E+000         3.3295736999E+003         -4.0630884401E+001        -2.3171960919E+002        6.2093700382E-001         0.0000000000E+000         8.4269014988E+001         3.3681997322E+000         5.6551514243E-001         
2015-02-26                11:51:53.696              56.24437148               1349.864916               57.24437148               1424951513.696            2                         963                       5.0006253204E+001         8.0000267029E+001         4.5000083923E+001         4.4125000000E+001         4.4973136902E+001         0.0000000000E+000         2.9530023607E+004         0.0000000000E+000         3.3292771923E+003         -4.0955723918E+001        -2.2550261604E+002        5.6284925253E-001         0.0000000000E+000         8.4475960547E+001         2.7360741209E+000         5.6471457670E-001         
2015-02-26                11:51:54.549              56.24438137               1349.865153               57.24438137               1424951514.550            2                         963                       4.9990076192E+001         8.0000267029E+001         4.5000083923E+001         4.4125000000E+001         4.4973136902E+001         0.0000000000E+000         2.9521584753E+004         0.0000000000E+000         3.3272339813E+003         -4.0090640273E+001        -2.2971825855E+002        8.3832185871E-001         0.0000000000E+000         8.4411610727E+001         2.6681581193E+000         6.3762900787E-001         
2015-02-26                11:51:55.403              56.24439124               1349.865390               57.24439124               1424951515.403            2                         963                       4.9998912862E+001         7.9999810486E+001         4.5000003357E+001         4.4105833333E+001         4.4973190613E+001         0.0000000000E+000         2.9520728906E+004         0.0000000000E+000         3.3291332396E+003         -4.0737072073E+001        -2.3240023023E+002        7.7554324424E-001         0.0000000000E+000         8.4386121482E+001         3.4173177167E+000         5.7632859899E-001         
2015-02-26                11:51:56.260              56.24440117               1349.865628               57.24440117               1424951516.261            2                         963                       5.0004032135E+001         7.9999748230E+001         4.4999992371E+001         4.4108333333E+001         4.4973197937E+001         0.0000000000E+000         2.9526565182E+004         0.0000000000E+000         3.3272894745E+003         -3.9708779786E+001        -2.2941407806E+002        8.9414779772E-001         0.0000000000E+000         8.4369294813E+001         2.7612709828E+000         5.5515326744E-001         
2015-02-26                11:51:57.115              56.24441106               1349.865866               57.24441106               1424951517.116            2                         963                       4.9993019867E+001         7.9999748230E+001         4.4999992371E+001         4.4125000000E+001         4.4973197937E+001         0.0000000000E+000         2.9520990560E+004         0.0000000000E+000         3.3293676386E+003         -4.0381895315E+001        -2.2649189793E+002        3.3597778180E-001         0.0000000000E+000         8.4145132582E+001         3.6882212521E+000         6.3789149526E-001         
2015-02-26                11:51:57.969              56.24442094               1349.866103               57.24442094               1424951517.969            2                         963                       4.9983860016E+001         7.9999748230E+001         4.4999992371E+001         4.4125000000E+001         4.4973197937E+001         0.0000000000E+000         2.9514705078E+004         0.0000000000E+000         3.3287845778E+003         -4.0478901152E+001        -2.2803248345E+002        1.5699779182E+000         0.0000000000E+000         8.4209815881E+001         3.6727076211E+000         6.1284429031E-001         
2015-02-26                11:51:58.822              56.24443082               1349.866340               57.24443082               1424951518.823            2                         963                       4.9984203339E+001         7.9999748230E+001         4.4999992371E+001         4.4125000000E+001         4.4973197937E+001         0.0000000000E+000         2.9513296875E+004         0.0000000000E+000         3.3310984955E+003         -4.0570985841E+001        -2.3018151894E+002        9.3105160103E-001         0.0000000000E+000         8.4111906840E+001         3.6336331014E+000         5.9544144422E-001         
2015-02-26                11:51:59.676              56.24444069               1349.866577               57.24444069               1424951519.676            2                         963                       4.9998612467E+001         7.9999741516E+001         4.4999991150E+001         4.4125000000E+001         4.4973193665E+001         0.0000000000E+000         2.9520882331E+004         0.0000000000E+000         3.3307547211E+003         -4.0733866434E+001        -2.2770170266E+002        1.8484769846E-001         0.0000000000E+000         8.4472898896E+001         2.3211373019E+000         6.1210553321E-001         
2015-02-26                11:52:00.529              56.24445057               1349.866814               57.24445057               1424951520.529            2                         963                       4.9988594513E+001         7.9999412537E+001         4.4999931335E+001         4.4125000000E+001         4.4972984314E+001         0.0000000000E+000         2.9514067331E+004         0.0000000000E+000         3.3311607062E+003         -4.1158590658E+001        -2.2271525486E+002        -3.6989136435E-001        0.0000000000E+000         8.4596921996E+001         1.8938917619E+000         5.5435534060E-001         
2015-02-26                11:52:01.382              56.24446045               1349.867051               57.24446045               1424951521.383            2                         963                       5.0012395070E+001         7.9999412537E+001         4.4999931335E+001         4.4125000000E+001         4.4972984314E+001         0.0000000000E+000         2.9525384792E+004         0.0000000000E+000         3.3321005127E+003         -4.1310162058E+001        -2.2605479514E+002        6.7172553729E-001         0.0000000000E+000         8.4306078682E+001         3.1092742951E+000         4.9573872027E-001         
2015-02-26                11:52:02.236              56.24447032               1349.867288               57.24447032               1424951522.236            2                         963                       5.0005691401E+001         7.9999412537E+001         4.4999931335E+001         4.4125000000E+001         4.4972984314E+001         0.0000000000E+000         2.9522769375E+004         0.0000000000E+000         3.3298396771E+003         -4.1249920386E+001        -2.2604548966E+002        1.0989864753E+000         0.0000000000E+000         8.4394643932E+001         1.9346012132E+000         6.1971141991E-001         
2015-02-26                11:52:03.089              56.24448021               1349.867525               57.24448021               1424951523.090            2                         963                       5.0004000753E+001         7.9999412537E+001         4.4999931335E+001         4.4125000000E+001         4.4972984314E+001         0.0000000000E+000         2.9522101641E+004         0.0000000000E+000         3.3298570836E+003         -4.0820184428E+001        -2.2690982425E+002        2.3095007110E-001         0.0000000000E+000         8.4338595226E+001         2.4722092242E+000         4.5191746621E-001         
2015-02-26                11:52:03.943              56.24449008               1349.867762               57.24449008               1424951523.943            2                         963                       4.9992562688E+001         7.9999412537E+001         4.4999931335E+001         4.4125000000E+001         4.4972984314E+001         0.0000000000E+000         2.9516483490E+004         0.0000000000E+000         3.3287520883E+003         -4.1252347031E+001        -2.2133915502E+002        4.3039863881E-001         0.0000000000E+000         8.4567680673E+001         9.4015493568E-002         4.9818914696E-001         
2015-02-26                11:52:04.796              56.24449997               1349.867999               57.24449997               1424951524.797            2                         963                       5.0007861582E+001         7.9999446716E+001         4.4999931335E+001         4.4125000000E+001         4.4973018494E+001         0.0000000000E+000         2.9523319870E+004         0.0000000000E+000         3.3294094797E+003         -4.0462440049E+001        -2.2804421860E+002        3.4109055180E-001         0.0000000000E+000         8.4331346816E+001         2.7612974443E+000         5.7248472371E-001         
2015-02-26                11:52:05.650              56.24450984               1349.868236               57.24450984               1424951525.650            2                         963                       5.0002493693E+001         7.9999626160E+001         4.4999931335E+001         4.4125000000E+001         4.4973197937E+001         0.0000000000E+000         2.9520998281E+004         0.0000000000E+000         3.3286617016E+003         -4.0642363583E+001        -2.2961427305E+002        9.0602271962E-001         0.0000000000E+000         8.4401626545E+001         3.0460125234E+000         5.7584707303E-001         
