DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2015-02-26                07:51:12.398              56.07722684               1345.853444               57.07722684               1424937072.399            2                         963                       4.9972179413E+001         7.9999534607E+001         4.5000144958E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9450525391E+004         0.0000000000E+000         3.2019025165E+003         -4.0928412365E+001        -2.3190990282E+002        9.1226313880E-001         0.0000000000E+000         8.4135034300E+001         2.9162953944E+000         5.0227724691E-001         
2015-02-26                07:51:13.252              56.07723671               1345.853681               57.07723671               1424937073.252            2                         963                       4.9988885981E+001         7.9999534607E+001         4.5000144958E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9457489388E+004         0.0000000000E+000         3.2027048380E+003         -4.0880964481E+001        -2.2841595537E+002        4.6685359717E-001         0.0000000000E+000         8.4043468161E+001         3.5559889348E+000         5.5927873515E-001         
2015-02-26                07:51:14.105              56.07724660               1345.853918               57.07724660               1424937074.106            2                         963                       5.0023678207E+001         7.9999534607E+001         4.5000144958E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9480610521E+004         0.0000000000E+000         3.2040475943E+003         -4.1175443417E+001        -2.2527012117E+002        -2.6370316847E-001        0.0000000000E+000         8.4510669247E+001         2.9566356332E+000         4.7555100469E-001         
2015-02-26                07:51:14.959              56.07725647               1345.854155               57.07725647               1424937074.959            2                         963                       4.9978917720E+001         8.0000035909E+001         4.5000213318E+001         4.4000000000E+001         4.4973372904E+001         0.0000000000E+000         2.9464154674E+004         0.0000000000E+000         3.2030271232E+003         -4.1272664624E+001        -2.2854191812E+002        -6.4634742255E-001        0.0000000000E+000         8.4641474217E+001         2.4132978402E+000         6.1850448097E-001         
2015-02-26                07:51:15.812              56.07726635               1345.854392               57.07726635               1424937075.813            2                         963                       4.9991592789E+001         8.0000205994E+001         4.5000236511E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9466904531E+004         0.0000000000E+000         3.2054062747E+003         -4.1228633829E+001        -2.2948874559E+002        6.6113258237E-001         0.0000000000E+000         8.4078190997E+001         2.2593017261E+000         4.7539825740E-001         
2015-02-26                07:51:16.665              56.07727623               1345.854629               57.07727623               1424937076.666            2                         963                       5.0023022537E+001         8.0000205994E+001         4.5000236511E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9490638099E+004         0.0000000000E+000         3.2049660490E+003         -4.1012813748E+001        -2.2954494006E+002        1.0317210351E+000         0.0000000000E+000         8.4120677637E+001         3.3861647089E+000         5.8562442852E-001         
2015-02-26                07:51:17.520              56.07728612               1345.854867               57.07728612               1424937077.521            2                         963                       5.0014395040E+001         8.0000205994E+001         4.5000236511E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9492645026E+004         0.0000000000E+000         3.2051277867E+003         -4.1062195143E+001        -2.2607145233E+002        4.8739496523E-002         0.0000000000E+000         8.4427058454E+001         2.9996561138E+000         5.9760248214E-001         
2015-02-26                07:51:18.378              56.07729605               1345.855105               57.07729605               1424937078.379            2                         963                       5.0014350052E+001         8.0000205994E+001         4.5000236511E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9497299518E+004         0.0000000000E+000         3.2049477822E+003         -4.0840195145E+001        -2.2829259491E+002        4.5330603849E-001         0.0000000000E+000         8.3975391113E+001         4.0568691839E+000         5.4394718945E-001         
2015-02-26                07:51:19.232              56.07730593               1345.855342               57.07730593               1424937079.232            2                         963                       4.9992311605E+001         8.0000205994E+001         4.5000236511E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9487632669E+004         0.0000000000E+000         3.2018641739E+003         -4.0929353163E+001        -2.3059960789E+002        9.2192073353E-001         0.0000000000E+000         8.4222505886E+001         2.9790428633E+000         5.9519647467E-001         
2015-02-26                07:51:20.085              56.07731581               1345.855579               57.07731581               1424937080.086            2                         963                       5.0001001638E+001         8.0000077820E+001         4.5000273132E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9489859570E+004         0.0000000000E+000         3.2035215187E+003         -4.0941119577E+001        -2.3012526569E+002        1.0688117658E+000         0.0000000000E+000         8.3938172629E+001         3.6430583826E+000         5.7525476832E-001         
2015-02-26                07:51:20.938              56.07732568               1345.855816               57.07732568               1424937080.939            2                         963                       4.9998021571E+001         7.9999992371E+001         4.5000297546E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9486999661E+004         0.0000000000E+000         3.2005054179E+003         -4.0414971556E+001        -2.3018198727E+002        4.7666137105E-001         0.0000000000E+000         8.4383247536E+001         1.1795471287E+000         5.5727502177E-001         
2015-02-26                07:51:21.792              56.07733556               1345.856053               57.07733556               1424937081.792            2                         963                       5.0019518102E+001         7.9999992371E+001         4.5000297546E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9504197852E+004         0.0000000000E+000         3.2022038417E+003         -4.0965175402E+001        -2.2607745832E+002        -1.3010232917E-001        0.0000000000E+000         8.4508722642E+001         1.4099475825E+000         5.4628645292E-001         
2015-02-26                07:51:22.645              56.07734544               1345.856291               57.07734544               1424937082.646            2                         963                       5.0013555145E+001         7.9999992371E+001         4.5000297546E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9507291823E+004         0.0000000000E+000         3.2044775711E+003         -4.1063811685E+001        -2.3262650282E+002        6.8611168417E-001         0.0000000000E+000         8.3974524247E+001         2.8068504113E+000         4.5929676623E-001         
2015-02-26                07:51:23.499              56.07735531               1345.856528               57.07735531               1424937083.499            2                         963                       5.0000235189E+001         7.9999992371E+001         4.5000297546E+001         4.4000000000E+001         4.4973258972E+001         0.0000000000E+000         2.9502755286E+004         0.0000000000E+000         3.2013511625E+003         -4.0905944342E+001        -2.3045287450E+002        1.8521649204E-002         0.0000000000E+000         8.4266135869E+001         2.8160631456E+000         5.1107799982E-001         
2015-02-26                07:51:24.354              56.07736521               1345.856765               57.07736521               1424937084.354            2                         963                       4.9998611221E+001         8.0000000305E+001         4.5000296326E+001         4.4000000000E+001         4.4973260193E+001         0.0000000000E+000         2.9500709258E+004         0.0000000000E+000         3.2037199073E+003         -4.1805647961E+001        -2.2907442169E+002        -5.3702670626E-002        0.0000000000E+000         8.4496271062E+001         1.5389623816E+000         5.6091782215E-001         
2015-02-26                07:51:25.211              56.07737514               1345.857003               57.07737514               1424937085.212            2                         963                       5.0018780518E+001         8.0000389099E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9519002539E+004         0.0000000000E+000         3.2007175161E+003         -4.0715768517E+001        -2.3098198286E+002        2.8859113067E-001         0.0000000000E+000         8.4270307201E+001         3.4369932544E+000         5.7288384179E-001         
2015-02-26                07:51:26.065              56.07738501               1345.857240               57.07738501               1424937086.065            2                         963                       4.9990417989E+001         8.0000389099E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9505453424E+004         0.0000000000E+000         3.2009857235E+003         -4.1278312528E+001        -2.2855709403E+002        1.1096277233E+000         0.0000000000E+000         8.4057918383E+001         3.1040158555E+000         4.6297156101E-001         
2015-02-26                07:51:26.918              56.07739490               1345.857477               57.07739490               1424937086.919            2                         963                       4.9977414093E+001         8.0000389099E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9491610130E+004         0.0000000000E+000         3.1997643088E+003         -4.0815179416E+001        -2.3379969243E+002        1.9366866635E-001         0.0000000000E+000         8.4174098917E+001         4.5617819398E+000         4.4528113351E-001         
2015-02-26                07:51:27.772              56.07740477               1345.857714               57.07740477               1424937087.772            2                         963                       4.9994528249E+001         8.0000389099E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9496452005E+004         0.0000000000E+000         3.2005013698E+003         -4.0836943113E+001        -2.3376092604E+002        4.0272127057E-001         0.0000000000E+000         8.4288097137E+001         2.0896791948E+000         5.0926461470E-001         
2015-02-26                07:51:28.625              56.07741465               1345.857952               57.07741465               1424937088.626            2                         963                       4.9994439418E+001         8.0000389099E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9495856484E+004         0.0000000000E+000         3.2026418802E+003         -4.1244659784E+001        -2.2764360817E+002        1.2979875686E+000         0.0000000000E+000         8.4074880799E+001         2.2199528687E+000         4.8250383200E-001         
2015-02-26                07:51:29.479              56.07742453               1345.858189               57.07742453               1424937089.479            2                         963                       5.0004102325E+001         8.0000283305E+001         4.5000289408E+001         4.4000000000E+001         4.4973372904E+001         0.0000000000E+000         2.9501709193E+004         0.0000000000E+000         3.2014245210E+003         -4.0586543594E+001        -2.2827778013E+002        8.3856650263E-001         0.0000000000E+000         8.4124390680E+001         2.1662874350E+000         5.3102256382E-001         
2015-02-26                07:51:30.332              56.07743440               1345.858426               57.07743440               1424937090.332            2                         963                       5.0005200806E+001         8.0000144958E+001         4.5000358582E+001         4.4000000000E+001         4.4973442078E+001         0.0000000000E+000         2.9501655859E+004         0.0000000000E+000         3.2011964141E+003         -4.0529676086E+001        -2.2902971238E+002        5.6121349506E-001         0.0000000000E+000         8.4377118776E+001         2.8590720937E+000         6.0164680926E-001         
2015-02-26                07:51:31.186              56.07744428               1345.858663               57.07744428               1424937091.186            2                         963                       5.0007609685E+001         8.0000144958E+001         4.5000358582E+001         4.4000000000E+001         4.4973442078E+001         0.0000000000E+000         2.9502695391E+004         0.0000000000E+000         3.2030499216E+003         -4.0431797259E+001        -2.3122009770E+002        6.6946329903E-001         0.0000000000E+000         8.4219438271E+001         3.0849798601E+000         5.2210460310E-001         
2015-02-26                07:51:32.039              56.07745416               1345.858900               57.07745416               1424937092.039            2                         963                       4.9988517939E+001         8.0000144958E+001         4.5000358582E+001         4.4000000000E+001         4.4973442078E+001         0.0000000000E+000         2.9490696471E+004         0.0000000000E+000         3.2030046885E+003         -4.0841743004E+001        -2.3090588432E+002        3.8294264980E-001         0.0000000000E+000         8.4379437736E+001         3.6396067709E+000         5.2434636328E-001         
2015-02-26                07:51:32.892              56.07746404               1345.859137               57.07746404               1424937092.893            2                         963                       5.0009312795E+001         8.0000144958E+001         4.5000358582E+001         4.4000000000E+001         4.4973442078E+001         0.0000000000E+000         2.9502332617E+004         0.0000000000E+000         3.2029668213E+003         -4.1107004010E+001        -2.2927956577E+002        1.6549953376E+000         0.0000000000E+000         8.3866790044E+001         3.4924825263E+000         5.1037642145E-001         
2015-02-26                07:51:33.746              56.07747391               1345.859374               57.07747391               1424937093.746            2                         963                       5.0009531021E+001         8.0000144958E+001         4.5000358582E+001         4.4000000000E+001         4.4973442078E+001         0.0000000000E+000         2.9504893594E+004         0.0000000000E+000         3.2055234875E+003         -4.1627575090E+001        -2.2316000037E+002        -3.5587438478E-001        0.0000000000E+000         8.4416267330E+001         4.0146066911E+000         5.1143381846E-001         
2015-02-26                07:51:34.601              56.07748381               1345.859611               57.07748381               1424937094.601            2                         963                       4.9991865285E+001         8.0000271912E+001         4.5000374451E+001         4.4000000000E+001         4.4973434143E+001         0.0000000000E+000         2.9497434688E+004         0.0000000000E+000         3.2037892554E+003         -4.1376621291E+001        -2.2960310501E+002        5.3956239134E-001         0.0000000000E+000         8.4164870852E+001         2.5773716899E+000         4.8986189876E-001         
2015-02-26                07:51:35.459              56.07749374               1345.859850               57.07749374               1424937095.459            2                         963                       4.9995185852E+001         8.0000633240E+001         4.5000419617E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9499293932E+004         0.0000000000E+000         3.2027089268E+003         -4.0642231115E+001        -2.3286290614E+002        3.6561521769E-001         0.0000000000E+000         8.4377579061E+001         4.1451449459E+000         5.5894518452E-001         
2015-02-26                07:51:36.312              56.07750361               1345.860087               57.07750361               1424937096.312            2                         963                       4.9999268417E+001         8.0000633240E+001         4.5000419617E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9499688424E+004         0.0000000000E+000         3.2054484318E+003         -4.1698535211E+001        -2.3058157535E+002        8.0857618492E-001         0.0000000000E+000         8.4040089375E+001         3.7653145075E+000         5.0910934468E-001         
2015-02-26                07:51:37.165              56.07751350               1345.860324               57.07751350               1424937097.166            2                         963                       5.0009847234E+001         8.0000633240E+001         4.5000419617E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9507569557E+004         0.0000000000E+000         3.2025777175E+003         -4.1097400736E+001        -2.3070396069E+002        7.2601860092E-001         0.0000000000E+000         8.4405488059E+001         3.1038127282E+000         6.3887119851E-001         
2015-02-26                07:51:38.019              56.07752337               1345.860561               57.07752337               1424937098.019            2                         963                       5.0009962769E+001         8.0000633240E+001         4.5000419617E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9511830755E+004         0.0000000000E+000         3.2036711848E+003         -4.2035490113E+001        -2.2353340085E+002        6.6712973945E-001         0.0000000000E+000         8.4302839683E+001         1.3729480494E+000         5.7181872345E-001         
2015-02-26                07:51:38.871              56.07753324               1345.860798               57.07753324               1424937098.872            2                         963                       4.9983920237E+001         8.0000633240E+001         4.5000419617E+001         4.4000000000E+001         4.4973411560E+001         0.0000000000E+000         2.9493939036E+004         0.0000000000E+000         3.2013479145E+003         -4.1033858717E+001        -2.2722691265E+002        -8.1608003706E-002        0.0000000000E+000         8.4447070077E+001         1.0200088974E+000         5.2420358268E-001         
2015-02-26                07:51:39.726              56.07754313               1345.861035               57.07754313               1424937099.726            2                         963                       4.9974732132E+001         8.0000945333E+001         4.5000419617E+001         4.4000000000E+001         4.4973387553E+001         0.0000000000E+000         2.9477245703E+004         0.0000000000E+000         3.2017273053E+003         -4.0779944461E+001        -2.2314164109E+002        -4.3766466865E-002        0.0000000000E+000         8.4686369047E+001         2.8355215145E+000         5.3549399855E-001         
2015-02-26                07:51:40.578              56.07755300               1345.861272               57.07755300               1424937100.579            2                         963                       4.9983288930E+001         8.0001426697E+001         4.5000419617E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9474731563E+004         0.0000000000E+000         3.2042627053E+003         -4.1080018282E+001        -2.2932963762E+002        2.3274008346E-001         0.0000000000E+000         8.4347724627E+001         2.2947837684E+000         4.5900695543E-001         
2015-02-26                07:51:41.433              56.07756288               1345.861509               57.07756288               1424937101.433            2                         963                       5.0002053757E+001         8.0001426697E+001         4.5000419617E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9479822734E+004         0.0000000000E+000         3.2058186548E+003         -4.1064987581E+001        -2.2938083125E+002        2.0594326479E-001         0.0000000000E+000         8.4143337536E+001         2.8750281876E+000         5.0171336128E-001         
2015-02-26                07:51:42.286              56.07757275               1345.861746               57.07757275               1424937102.286            2                         963                       5.0025950928E+001         8.0001426697E+001         4.5000419617E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9502053724E+004         0.0000000000E+000         3.2064964965E+003         -4.1249670341E+001        -2.2933072273E+002        -6.4051098728E-002        0.0000000000E+000         8.4430519690E+001         3.9651036790E+000         6.1137382912E-001         
2015-02-26                07:51:43.140              56.07758264               1345.861983               57.07758264               1424937103.140            2                         963                       4.9996816839E+001         8.0001426697E+001         4.5000419617E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9490600768E+004         0.0000000000E+000         3.2042719815E+003         -4.0927174118E+001        -2.2905243838E+002        1.7219998683E+000         0.0000000000E+000         8.3985620571E+001         3.1431443871E+000         5.0794782806E-001         
2015-02-26                07:51:43.993              56.07759251               1345.862220               57.07759251               1424937103.993            2                         963                       5.0011613897E+001         8.0001426697E+001         4.5000419617E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9507316706E+004         0.0000000000E+000         3.2044343876E+003         -4.1137981479E+001        -2.2850221281E+002        -3.5883879056E-001        0.0000000000E+000         8.4510242345E+001         2.7668664441E+000         5.1152444144E-001         
2015-02-26                07:51:44.845              56.07760238               1345.862457               57.07760238               1424937104.846            2                         963                       4.9986376928E+001         8.0001473694E+001         4.5000325623E+001         4.4000000000E+001         4.4973334859E+001         0.0000000000E+000         2.9491649375E+004         0.0000000000E+000         3.2023008570E+003         -4.1008912547E+001        -2.2863823272E+002        1.2355079819E+000         0.0000000000E+000         8.4184107912E+001         5.0108030324E-001         5.4021209599E-001         
2015-02-26                07:51:45.700              56.07761227               1345.862694               57.07761227               1424937105.700            2                         963                       4.9998759588E+001         8.0001518250E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9490944115E+004         0.0000000000E+000         3.2055153212E+003         -4.1774881885E+001        -2.2656299177E+002        1.6714725919E-001         0.0000000000E+000         8.4401601173E+001         1.4702998049E+000         4.8601703779E-001         
2015-02-26                07:51:46.552              56.07762214               1345.862931               57.07762214               1424937106.553            2                         963                       5.0025865835E+001         8.0001518250E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9504600703E+004         0.0000000000E+000         3.2058608362E+003         -4.1266570835E+001        -2.2824314905E+002        6.9943789682E-001         0.0000000000E+000         8.4144227078E+001         3.8472652903E+000         6.2308658480E-001         
2015-02-26                07:51:47.407              56.07763203               1345.863169               57.07763203               1424937107.407            2                         963                       5.0026451111E+001         8.0001518250E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9504996094E+004         0.0000000000E+000         3.2047664149E+003         -4.1682607287E+001        -2.3152519235E+002        5.0263002881E-001         0.0000000000E+000         8.4504590561E+001         1.9886602871E+000         5.7143693302E-001         
2015-02-26                07:51:48.259              56.07764190               1345.863406               57.07764190               1424937108.260            2                         963                       5.0008736877E+001         8.0001518250E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9497783385E+004         0.0000000000E+000         3.2047976043E+003         -4.1099849343E+001        -2.2861858604E+002        2.7189028093E-001         0.0000000000E+000         8.4238811877E+001         2.1291028856E+000         6.1346465175E-001         
2015-02-26                07:51:49.114              56.07765178               1345.863643               57.07765178               1424937109.114            2                         963                       4.9996024907E+001         8.0001518250E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9490693568E+004         0.0000000000E+000         3.2056487708E+003         -4.0812311550E+001        -2.2819120780E+002        6.4482527594E-002         0.0000000000E+000         8.4625431508E+001         2.4677851606E+000         6.0494429959E-001         
2015-02-26                07:51:49.967              56.07766166               1345.863880               57.07766166               1424937109.967            2                         963                       4.9995816803E+001         8.0001987000E+001         4.5000216980E+001         4.4000000000E+001         4.4973339539E+001         0.0000000000E+000         2.9490186406E+004         0.0000000000E+000         3.2052964676E+003         -4.0670579314E+001        -2.3126480274E+002        8.4686370642E-001         0.0000000000E+000         8.4518819423E+001         1.0820512443E+000         5.4106161882E-001         
2015-02-26                07:51:50.821              56.07767154               1345.864117               57.07767154               1424937110.821            2                         963                       4.9988447571E+001         8.0002250671E+001         4.5000205994E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9480715781E+004         0.0000000000E+000         3.2052337094E+003         -4.0932798940E+001        -2.2884387434E+002        9.9164070386E-002         0.0000000000E+000         8.4682618109E+001         2.5160186393E+000         5.9776443567E-001         
2015-02-26                07:51:51.674              56.07768141               1345.864354               57.07768141               1424937111.674            2                         963                       4.9994781316E+001         8.0002250671E+001         4.5000205994E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9482288229E+004         0.0000000000E+000         3.2072993572E+003         -4.1372089322E+001        -2.2664935416E+002        8.1014864035E-001         0.0000000000E+000         8.4201427035E+001         2.2792280298E+000         5.4019513341E-001         
2015-02-26                07:51:52.526              56.07769128               1345.864591               57.07769128               1424937112.527            2                         963                       5.0005811183E+001         8.0002250671E+001         4.5000205994E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9489101042E+004         0.0000000000E+000         3.2082091163E+003         -4.1403817647E+001        -2.2708927961E+002        5.4508755278E-001         0.0000000000E+000         8.4319847655E+001         3.6037578960E+000         5.4933901094E-001         
2015-02-26                07:51:53.381              56.07770117               1345.864828               57.07770117               1424937113.381            2                         963                       5.0016654714E+001         8.0002250671E+001         4.5000205994E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9500872122E+004         0.0000000000E+000         3.2068011288E+003         -4.0982002794E+001        -2.2739485731E+002        4.4243099516E-001         0.0000000000E+000         8.4396190006E+001         2.9933357188E+000         5.7849629318E-001         
2015-02-26                07:51:54.233              56.07771104               1345.865065               57.07771104               1424937114.234            2                         963                       5.0013744049E+001         8.0002250671E+001         4.5000205994E+001         4.4000000000E+001         4.4973350525E+001         0.0000000000E+000         2.9503807956E+004         0.0000000000E+000         3.2060030653E+003         -4.0836454124E+001        -2.2745764004E+002        2.1161748201E-001         0.0000000000E+000         8.4069103028E+001         3.1555642772E+000         5.8147934009E-001         
2015-02-26                07:51:55.088              56.07772093               1345.865302               57.07772093               1424937115.088            2                         963                       5.0006664276E+001         8.0002586365E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9503384766E+004         0.0000000000E+000         3.2049292750E+003         -4.0951892183E+001        -2.2994901441E+002        5.5562518002E-001         0.0000000000E+000         8.4478430711E+001         1.0109658623E+000         4.9331155950E-001         
2015-02-26                07:51:55.940              56.07773080               1345.865539               57.07773080               1424937115.941            2                         963                       4.9988443451E+001         8.0002586365E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9492016862E+004         0.0000000000E+000         3.2070192223E+003         -4.1502010505E+001        -2.2434261448E+002        1.0466794841E+000         0.0000000000E+000         8.4153881488E+001         2.4712701613E+000         5.6567192078E-001         
2015-02-26                07:51:56.795              56.07774068               1345.865776               57.07774068               1424937116.795            2                         963                       5.0000783513E+001         8.0002586365E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9497949206E+004         0.0000000000E+000         3.2063843958E+003         -4.1197487438E+001        -2.2993986330E+002        6.5630523506E-001         0.0000000000E+000         8.4215991965E+001         3.0745942009E+000         5.8406903444E-001         
2015-02-26                07:51:57.648              56.07775056               1345.866013               57.07775056               1424937117.648            2                         963                       5.0011895243E+001         8.0002586365E+001         4.5000236511E+001         4.4000000000E+001         4.4973320007E+001         0.0000000000E+000         2.9509110885E+004         0.0000000000E+000         3.2046980931E+003         -4.0828582647E+001        -2.2917845599E+002        2.6175729275E-001         0.0000000000E+000         8.4511774550E+001         2.2362227296E+000         5.5500110478E-001         
