DATE                      TIME                      FRAC_DAYS_SINCE_JAN1      FRAC_HRS_SINCE_JAN1       JULIAN_DAYS               EPOCH_TIME                ALARM_STATUS              INST_STATUS               CavityPressure            CavityTemp                WarmBoxTemp               DasTemp                   EtalonTemp                MPVPosition               OutletValve               ValveMask                 H2O                       Delta_18_16               Delta_D_H                 CH4                       n2_flag                   baseline_shift            slope_shift               residuals                 
2015-02-27                15:54:37.944              57.41293918               1377.910540               58.41293918               1425052477.945            2                         963                       5.0004879074E+001         7.9998527527E+001         4.5000358582E+001         4.4125000000E+001         4.4973350525E+001         0.0000000000E+000         3.0786859128E+004         0.0000000000E+000         5.8713750392E+001         -3.6153808982E+001        -7.7184370330E+001        -5.5708498691E-001        0.0000000000E+000         8.1341391907E+001         -4.9663017219E+000        1.9654706230E-001         
2015-02-27                15:54:38.798              57.41294905               1377.910777               58.41294905               1425052478.798            2                         963                       5.0000279668E+001         7.9998527527E+001         4.5000358582E+001         4.4125000000E+001         4.4973350525E+001         0.0000000000E+000         3.0784358190E+004         0.0000000000E+000         5.7051788709E+001         3.1195342092E+000         3.4607420537E+001         -6.0030828040E-001        0.0000000000E+000         8.1172315001E+001         -5.5883336552E+000        1.6075051534E-001         
2015-02-27                15:54:39.651              57.41295894               1377.911014               58.41295894               1425052479.652            2                         963                       5.0005177638E+001         7.9998466492E+001         4.5000378927E+001         4.4125000000E+001         4.4973370870E+001         0.0000000000E+000         3.0787863737E+004         0.0000000000E+000         5.6615849166E+001         1.0158699137E+001         -9.2546917637E+001        -7.0906641733E-001        0.0000000000E+000         8.1133317661E+001         -4.0522265738E+000        2.0842310596E-001         
2015-02-27                15:54:40.505              57.41296881               1377.911251               58.41296881               1425052480.505            2                         963                       5.0016646678E+001         7.9998344421E+001         4.5000419617E+001         4.4125000000E+001         4.4973411560E+001         0.0000000000E+000         3.0799196380E+004         0.0000000000E+000         5.7033169169E+001         -3.5923637214E+000        -3.5742490649E+002        4.7072264714E-001         0.0000000000E+000         8.0784497519E+001         -3.9974799378E+000        2.1356305693E-001         
2015-02-27                15:54:41.358              57.41297868               1377.911488               58.41297868               1425052481.358            2                         963                       5.0005560328E+001         7.9998344421E+001         4.5000419617E+001         4.4125000000E+001         4.4973411560E+001         0.0000000000E+000         3.0806446133E+004         0.0000000000E+000         5.7843988715E+001         -2.2742275495E+001        -1.0195268657E+002        -6.9864315447E-002        0.0000000000E+000         8.0994085232E+001         -4.1141329183E+000        2.1651542672E-001         
2015-02-27                15:54:42.211              57.41298856               1377.911726               58.41298856               1425052482.212            2                         963                       4.9988791555E+001         7.9998344421E+001         4.5000419617E+001         4.4161250000E+001         4.4973411560E+001         0.0000000000E+000         3.0792658437E+004         0.0000000000E+000         5.6158462628E+001         -4.1340857081E+000        -1.9708452046E+001        1.5716155785E-001         0.0000000000E+000         8.1228917490E+001         -5.8404454716E+000        2.0362081915E-001         
2015-02-27                15:54:43.065              57.41299844               1377.911963               58.41299844               1425052483.065            2                         963                       4.9979582723E+001         7.9998344421E+001         4.5000419617E+001         4.4158333333E+001         4.4973411560E+001         0.0000000000E+000         3.0781452604E+004         0.0000000000E+000         5.5490463959E+001         4.1058343857E+001         -1.1182109260E+002        -9.7328643372E-001        0.0000000000E+000         8.1418804462E+001         -4.6757943163E+000        1.4765285569E-001         
2015-02-27                15:54:43.918              57.41300832               1377.912200               58.41300832               1425052483.919            2                         963                       4.9984460653E+001         7.9998344421E+001         4.5000419617E+001         4.4166666667E+001         4.4973411560E+001         0.0000000000E+000         3.0779370859E+004         0.0000000000E+000         5.6615958907E+001         -9.1715554140E+000        -1.8524740897E+001        -2.6918805676E-001        0.0000000000E+000         8.1202642020E+001         -6.1707217985E+000        1.6389598765E-001         
2015-02-27                15:54:44.772              57.41301819               1377.912437               58.41301819               1425052484.772            2                         963                       4.9994255549E+001         7.9998344421E+001         4.5000419617E+001         4.4125000000E+001         4.4973370056E+001         0.0000000000E+000         3.0777513919E+004         0.0000000000E+000         5.7284502861E+001         -4.6013618409E+000        2.5417046622E+001         -4.5165377638E-001        0.0000000000E+000         8.1079203944E+001         -4.5986236945E+000        1.3927543610E-001         
2015-02-27                15:54:45.625              57.41302808               1377.912674               58.41302808               1425052485.626            2                         963                       5.0008237712E+001         7.9998664246E+001         4.5000259705E+001         4.4160416667E+001         4.4973320007E+001         0.0000000000E+000         3.0782349544E+004         0.0000000000E+000         5.5473210129E+001         1.8858906869E+001         -5.3163141128E+001        -6.2524893006E-001        0.0000000000E+000         8.1280379790E+001         -5.5301026786E+000        1.2862774613E-001         
